taster_twitter_handle,taster_n_tweets,taster_n_followers,taster_gender
@AnneInVino,"6,748","13,100",F
@bkfiona,257,424,F
@gordone_cellars,"1,002",279,M
@JoeCz,"2,798","4,572",M
@kerinokeefe,"3,007","6,143",F
@laurbuzz,"1,042","1,929",F
@mattkettmann,"1,534","2,540",M
@paulgwine ,"1,791","3,207",M
@suskostrzewa,"1,269","1,905",F
@vboone,"1,284","2,291",F
@vossroger,803,"1,034",M
@wawinereport,"19,200","10,300",M
@wineschach,"1,212","1,442",M
@winewchristina,"7,325","3,720",F
@worldwineguys,"1,897","2,615",M
