variety,color
Çalkarası,O
Žilavka,W
Abouriou,R
Agiorgitiko,R
Aglianico,R
Aidani,W
Airen,W
Albana,W
Albanello,W
Albariño,W
Albarossa,R
Aleatico,R
Alfrocheiro,R
Alicante,R
Alicante Bouschet,R
Aligoté,W
Alsace white blend,W
Altesse,W
Alvarelhão,R
Alvarinho,W
Alvarinho-Chardonnay,W
Ansonica,W
Antão Vaz,W
Apple,W
Aragonês,R
Aragonez,R
Argaman,R
Arinto,W
Arneis,W
Asprinio,W
Assyrtico,W
Assyrtiko,W
Athiri,W
Austrian Red Blend,R
Austrian white blend,W
Auxerrois,W
Avesso,W
Azal,W
Babić,R
Babosa Negro,R
Bacchus,W
Baco Noir,R
Baga,R
Baga-Touriga Nacional,R
Barbera,R
Barbera-Nebbiolo,R
Bastardo,R
Biancale,W
Biancolella,W
Biancu Gentile,W
Bical,W
Black Monukka,O
Black Muscat,R
Blanc du Bois,W
Blatina,R
Blauburger,R
Blauburgunder,R
Blauer Portugieser,O
Blaufränkisch,R
Bobal,R
Bobal-Cabernet Sauvignon,R
Boğazkere,R
Bombino Bianco,W
Bombino Nero,O
Bonarda,R
Bordeaux-style Red Blend,R
Bordeaux-style White Blend,W
Bovale,R
Brachetto,O
Braucol,R
Bual,W
Códega do Larinho,W
Cabernet,R
Cabernet Blend,R
Cabernet Franc,R
Cabernet Franc-Cabernet Sauvignon,R
Cabernet Franc-Carmenère,R
Cabernet Franc-Lemberger,R
Cabernet Franc-Malbec,R
Cabernet Franc-Merlot,R
Cabernet Merlot,R
Cabernet Moravia,R
Cabernet Pfeffer,R
Cabernet Sauvignon,R
Cabernet Sauvignon Grenache,R
Cabernet Sauvignon-Barbera,R
Cabernet Sauvignon-Cabernet Franc,R
Cabernet Sauvignon-Carmenère,R
Cabernet Sauvignon-Malbec,R
Cabernet Sauvignon-Merlot,R
Cabernet Sauvignon-Merlot-Shiraz,R
Cabernet Sauvignon-Sangiovese,R
Cabernet Sauvignon-Shiraz,R
Cabernet Sauvignon-Syrah,R
Cabernet Sauvignon-Tempranillo,R
Cabernet-Malbec,R
Cabernet-Shiraz,R
